Artist,Album
"Indianapolis Ceili Band - Topic","The New Broom _ Around the Fairy Fort _ If We Hadn't Any Women in the World (Barndances)"
"Fourwinds","Fourwinds"
"Laurie Hart & Greg Sandell","Danse ce soir! Traditional tunes of Québec"
"Mary MacNamara","The Blackberry Blossom"
"Mary MacNamara","Traditional Music from East Clare"
"Dympna O'Sullivan","Enriched. Saibhriú"
"mandolin dude","mandolin dude"
"Mícheál Ó Raghallaigh","Unknown Album"
"Mícheál Ó Raghallaigh","Live"
"Kate McNamara","Are you the concertina player_"
"Frankie Gavin & De Danann","Jigs, Reels & Rock n' Roll"
"Florence Fahy","Tunes From The Flaggy Shore -Traditional Irish Music On The Concertina From County Clare"
"Paul Young","Unknown Album"
"Concertina Players of County Clare","Keepers of Tradition"
"Éamonn O'Riordan & Tony O'Connell","Rooska Hill"
"Harry Bradley","The First of May"
"Liz Carroll & John Doyle","In Play"
"Liz Carroll & John Doyle","Double Play"
